seconds_before_off,country_code,race_class_band,field_size,all_run,short_fav,prob_band,dist_to_eff
180,GB,high,large,TRUE,FALSE,prob_low,0.09020640123364183
180,GB,high,large,TRUE,FALSE,prob_vlow,0.1438229953347896
180,GB,high,large,TRUE,TRUE,prob_high,0.027953747160457832
180,GB,high,large,TRUE,TRUE,prob_mid,0.010309643601367852
180,GB,high,large,TRUE,TRUE,prob_low,0.09903763049540457
180,GB,high,large,TRUE,TRUE,prob_vlow,0.157151344143722
180,GB,low,small,FALSE,FALSE,prob_mid,0.07181929712733681
180,GB,low,small,FALSE,FALSE,prob_low,0.09750980147710371
180,GB,low,small,FALSE,FALSE,prob_vlow,0.15734368264040144
180,GB,low,small,FALSE,TRUE,prob_high,0.058872925142074616
180,GB,low,small,FALSE,TRUE,prob_mid,0.08497156875891412
180,GB,low,small,FALSE,TRUE,prob_low,0.11836225285224321
180,GB,low,small,FALSE,TRUE,prob_vlow,0.19274143831359103
180,GB,low,small,TRUE,FALSE,prob_mid,0.07171509238076132
180,GB,low,small,TRUE,FALSE,prob_low,0.09866172991608592
180,GB,low,small,TRUE,FALSE,prob_vlow,0.16143766857044872
180,GB,low,small,TRUE,TRUE,prob_high,0.05145999047766747
180,GB,low,small,TRUE,TRUE,prob_mid,0.08461342515145324
180,GB,low,small,TRUE,TRUE,prob_low,0.11758560714008122
180,GB,low,small,TRUE,TRUE,prob_vlow,0.20564677910994578
180,GB,low,mid,FALSE,FALSE,prob_mid,0.07383795367976179
180,GB,low,mid,FALSE,FALSE,prob_low,0.09445876261984174
180,GB,low,mid,FALSE,FALSE,prob_vlow,0.150857582797226
180,GB,low,mid,FALSE,TRUE,prob_high,0.04939737050115413
180,GB,low,mid,FALSE,TRUE,prob_mid,0.0832585019644454
180,GB,low,mid,FALSE,TRUE,prob_low,0.11287136869327408
180,GB,low,mid,FALSE,TRUE,prob_vlow,0.184362161428002
180,GB,low,mid,TRUE,FALSE,prob_mid,0.0760613034967191
180,GB,low,mid,TRUE,FALSE,prob_low,0.10082471817737769
180,GB,low,mid,TRUE,FALSE,prob_vlow,0.1656766717292631
180,GB,low,mid,TRUE,TRUE,prob_high,0.05428141925796961
180,GB,low,mid,TRUE,TRUE,prob_mid,0.08711213254283919
180,GB,low,mid,TRUE,TRUE,prob_low,0.11719160785299823
180,GB,low,mid,TRUE,TRUE,prob_vlow,0.19998435182983423
180,GB,low,large,FALSE,FALSE,prob_mid,0.07229562242653116
180,GB,low,large,FALSE,FALSE,prob_low,0.09355447915980425
180,GB,low,large,FALSE,FALSE,prob_vlow,0.14944196767685072
180,GB,low,large,FALSE,TRUE,prob_high,0.053281814363549986
180,GB,low,large,FALSE,TRUE,prob_mid,0.07731524322688578
180,GB,low,large,FALSE,TRUE,prob_low,0.09858511675798898
180,GB,low,large,FALSE,TRUE,prob_vlow,0.18758780062695538
180,GB,low,large,TRUE,FALSE,prob_mid,0.07799418412145402
